TYPEID,GROUPID,TYPENAME,VOLUME,MARKETGROUPID,ICONID
18,458,Plagioclase,0.35,516,230
19,461,Spodumain,16,517,1274
20,457,Kernite,1.2,523,1270
21,454,Hedbergite,3,527,1269
22,450,Arkonor,16,512,1277
34,18,Tritanium,0.01,1857,22
35,18,Pyerite,0.01,1857,400
36,18,Mexallon,0.01,1857,401
37,18,Isogen,0.01,1857,402
38,18,Nocxium,0.01,1857,1201
39,18,Zydrine,0.01,1857,404
40,18,Megacyte,0.01,1857,405
41,280,Garbage,0.25,20,1179
42,280,Spiced Wine,0.5,492,27
43,280,Antibiotics,0.2,492,28
44,1034,Enriched Uranium,1.5,1335,29
45,281,Frozen Plant Seeds,0.5,492,1200
178,83,Carbonized Lead S,0.0025,113,1004
179,83,Nuclear S,0.0025,113,1288
180,83,Proton S,0.0025,113,1290
181,83,Depleted Uranium S,0.0025,113,1285
182,83,Titanium Sabot S,0.0025,113,1291
183,83,Fusion S,0.0025,113,1287
184,83,Phased Plasma S,0.0025,113,1289
185,83,EMP S,0.0025,113,1286
186,83,Carbonized Lead M,0.0125,112,1292
187,83,Nuclear M,0.0125,112,1296
188,83,Proton M,0.0125,112,1298
189,83,Depleted Uranium M,0.0125,112,1293
190,83,Titanium Sabot M,0.0125,112,1299
191,83,Fusion M,0.0125,112,1295
192,83,Phased Plasma M,0.0125,112,1297
193,83,EMP M,0.0125,112,1294
194,83,Carbonized Lead L,0.025,109,1300
195,83,Nuclear L,0.025,109,1304
196,83,Proton L,0.025,109,1306
197,83,Depleted Uranium L,0.025,109,1301
198,83,Titanium Sabot L,0.025,109,1307
199,83,Fusion L,0.025,109,1303
200,83,Phased Plasma L,0.025,109,1305
201,83,EMP L,0.025,109,1302
202,386,Mjolnir Cruise Missile,0.05,921,182
203,386,Scourge Cruise Missile,0.05,921,183
204,386,Inferno Cruise Missile,0.05,921,184
205,386,Nova Cruise Missile,0.05,921,185
206,385,Nova Heavy Missile,0.03,924,186
207,385,Mjolnir Heavy Missile,0.03,924,187
208,385,Inferno Heavy Missile,0.03,924,188
209,385,Scourge Heavy Missile,0.03,924,189
210,384,Scourge Light Missile,0.015,920,190
211,384,Inferno Light Missile,0.015,920,191
212,384,Mjolnir Light Missile,0.015,920,192
213,384,Nova Light Missile,0.015,920,193
215,85,Iron Charge S,0.0025,107,1311
216,85,Tungsten Charge S,0.0025,107,1315
217,85,Iridium Charge S,0.0025,107,1310
218,85,Lead Charge S,0.0025,107,1312
219,85,Thorium Charge S,0.0025,107,1314
220,85,Uranium Charge S,0.0025,107,1316
221,85,Plutonium Charge S,0.0025,107,1313
222,85,Antimatter Charge S,0.0025,107,1047
223,85,Iron Charge M,0.0125,108,1319
224,85,Tungsten Charge M,0.0125,108,1323
225,85,Iridium Charge M,0.0125,108,1318
226,85,Lead Charge M,0.0125,108,1320
227,85,Thorium Charge M,0.0125,108,1322
228,85,Uranium Charge M,0.0125,108,1324
229,85,Plutonium Charge M,0.0125,108,1321
230,85,Antimatter Charge M,0.0125,108,1317
231,85,Iron Charge L,0.025,106,1327
232,85,Tungsten Charge L,0.025,106,1331
233,85,Iridium Charge L,0.025,106,1326
234,85,Lead Charge L,0.025,106,1328
235,85,Thorium Charge L,0.025,106,1330
236,85,Uranium Charge L,0.025,106,1332
237,85,Plutonium Charge L,0.025,106,1329
238,85,Antimatter Charge L,0.025,106,1325
239,86,Radio S,1,102,1145
240,86,Microwave S,1,102,1143
241,86,Infrared S,1,102,1144
242,86,Standard S,1,102,1142
243,86,Ultraviolet S,1,102,1141
244,86,Xray S,1,102,1140
245,86,Gamma S,1,102,1139
246,86,Multifrequency S,1,102,1131
247,86,Radio M,1,103,1145
248,86,Microwave M,1,103,1143
249,86,Infrared M,1,103,1144
250,86,Standard M,1,103,1142
251,86,Ultraviolet M,1,103,1141
252,86,Xray M,1,103,1140
253,86,Gamma M,1,103,1139
254,86,Multifrequency M,1,103,1131
255,86,Radio L,1,105,1145
256,86,Microwave L,1,105,1143
257,86,Infrared L,1,105,1144
258,86,Standard L,1,105,1142
259,86,Ultraviolet L,1,105,1141
260,86,Xray L,1,105,1140
261,86,Gamma L,1,105,1139
262,86,Multifrequency L,1,105,1131
263,87,Cap Booster 25,1,139,1033
264,87,Cap Booster 50,2,139,1033
265,1158,Heavy Defender Missile I,0.03,116,187
266,387,Scourge Rocket,0.005,922,1350
267,89,Scourge Torpedo,0.05,923,1346
269,394,Mjolnir Auto-Targeting Light Missile I,0.015,914,1336
377,38,Small Shield Extender I,5,605,1044
380,38,Small Shield Extender II,5,605,1044
393,39,Shield Recharger I,5,126,83
394,39,Shield Recharger II,5,126,83
399,40,Small Shield Booster I,5,609,84
400,40,Small Shield Booster II,5,609,84
405,41,Micro' Remote Shield Booster,2.5,603,86
406,41,Micro Remote Shield Booster II,2.5,604,86
421,43,'Basic' Capacitor Recharger,5,665,90
434,46,5MN Microwarpdrive I,10,131,10149
